input_prompt,enhanced_prompt
a nomad in cybernetic lab,"(nomad:1.25) in cybernetic lab, Dark Fantasy style, unreal engine 5, majestic scale, octane render"
a nomad in mountain temple,"(nomad:1.25) in mountain temple, Dark Fantasy style, intricate textures, volumetric lighting, masterpiece quality, muted tones, majestic scale"
a knight in ancient ruins,"(knight:1.25) in ancient ruins, Cinematic style, octane render, ethereal atmosphere, ray traced"
a demon in deep forest,"(demon:1.25) in deep forest, Vaporwave style, vibrant colors, unreal engine 5, volumetric lighting"
a warrior in desert oasis,"(warrior:1.25) in desert oasis, Steampunk style, sharp focus, dramatic shadows, vibrant colors"
a demon in frozen tundra,"(demon:1.25) in frozen tundra, Cinematic style, ray traced, unreal engine 5, muted tones"
a samurai in stellar nebula,"(samurai:1.25) in stellar nebula, Cinematic style, muted tones, 8k resolution, ray traced, volumetric lighting"
a goddess in mountain temple,"(goddess:1.25) in mountain temple, Minimalist style, hyper detailed, vibrant colors, sharp focus"
a explorer in floating island,"(explorer:1.25) in floating island, Anime style, sharp focus, dramatic shadows, ethereal atmosphere"
a wizard in space station,"(wizard:1.25) in space station, Cyberpunk style, 8k resolution, octane render, majestic scale, sharp focus, soft bokeh"
a nomad in volcano,"(nomad:1.25) in volcano, Minimalist style, hyper detailed, sharp focus, dramatic shadows, muted tones"
a dragon in ancient ruins,"(dragon:1.25) in ancient ruins, Dark Fantasy style, majestic scale, vibrant colors, unreal engine 5, ethereal atmosphere, octane render"
a scientist in cybernetic lab,"(scientist:1.25) in cybernetic lab, Renaissance style, 8k resolution, ray traced, octane render, intricate textures"
a robot in ancient ruins,"(robot:1.25) in ancient ruins, Impressionist style, ethereal atmosphere, 8k resolution, soft bokeh, volumetric lighting"
a cat in ancient ruins,"(cat:1.25) in ancient ruins, Renaissance style, octane render, muted tones, hyper detailed"
a knight in dreamscape,"(knight:1.25) in dreamscape, Cinematic style, soft bokeh, muted tones, dramatic shadows, volumetric lighting"
a cat in desert oasis,"(cat:1.25) in desert oasis, Impressionist style, vibrant colors, volumetric lighting, sharp focus, soft bokeh, ethereal atmosphere"
a scientist in underwater city,"(scientist:1.25) in underwater city, Steampunk style, vibrant colors, ray traced, muted tones"
a warrior in neon city,"(warrior:1.25) in neon city, Photoreal style, ray traced, dramatic shadows, muted tones, intricate textures, 8k resolution"
a cyberpunk girl in dreamscape,"(cyberpunk girl:1.25) in dreamscape, Minimalist style, ray traced, dramatic shadows, intricate textures"
a scientist in mars base,"(scientist:1.25) in mars base, Minimalist style, 8k resolution, ray traced, vibrant colors, volumetric lighting, hyper detailed"
a queen in ancient ruins,"(queen:1.25) in ancient ruins, Renaissance style, intricate textures, hyper detailed, 8k resolution"
a wizard in volcano,"(wizard:1.25) in volcano, Photoreal style, octane render, masterpiece quality, hyper detailed"
a monk in deep forest,"(monk:1.25) in deep forest, Photoreal style, masterpiece quality, vibrant colors, dramatic shadows, muted tones"
a warrior in mars base,"(warrior:1.25) in mars base, Cyberpunk style, intricate textures, hyper detailed, majestic scale"
a goddess in mountain temple,"(goddess:1.25) in mountain temple, Vaporwave style, dramatic shadows, ethereal atmosphere, unreal engine 5, hyper detailed, 8k resolution"
a wizard in stellar nebula,"(wizard:1.25) in stellar nebula, Minimalist style, dramatic shadows, muted tones, masterpiece quality, vibrant colors"
a queen in mountain temple,"(queen:1.25) in mountain temple, Vaporwave style, octane render, ray traced, intricate textures"
a dragon in medieval village,"(dragon:1.25) in medieval village, Dark Fantasy style, dramatic shadows, soft bokeh, ray traced"
a cat in floating island,"(cat:1.25) in floating island, Dark Fantasy style, ethereal atmosphere, sharp focus, masterpiece quality, soft bokeh, unreal engine 5"
a wizard in deep forest,"(wizard:1.25) in deep forest, Anime style, unreal engine 5, octane render, sharp focus"
a dragon in desert oasis,"(dragon:1.25) in desert oasis, Dark Fantasy style, ray traced, intricate textures, 8k resolution, soft bokeh"
a cyberpunk girl in dreamscape,"(cyberpunk girl:1.25) in dreamscape, Impressionist style, unreal engine 5, sharp focus, intricate textures, octane render"
a queen in underwater city,"(queen:1.25) in underwater city, Renaissance style, sharp focus, ray traced, 8k resolution, octane render, unreal engine 5"
a forest spirit in underwater city,"(forest spirit:1.25) in underwater city, Cyberpunk style, masterpiece quality, ray traced, unreal engine 5"
a robot in mountain temple,"(robot:1.25) in mountain temple, Vaporwave style, sharp focus, muted tones, ray traced, intricate textures"
a queen in mountain temple,"(queen:1.25) in mountain temple, Cinematic style, dramatic shadows, volumetric lighting, hyper detailed, intricate textures"
a monk in neon city,"(monk:1.25) in neon city, Renaissance style, soft bokeh, hyper detailed, 8k resolution, dramatic shadows, unreal engine 5"
a old man in volcano,"(old man:1.25) in volcano, Steampunk style, soft bokeh, masterpiece quality, octane render"
a queen in ancient ruins,"(queen:1.25) in ancient ruins, Minimalist style, volumetric lighting, hyper detailed, soft bokeh, majestic scale, vibrant colors"
a monk in medieval village,"(monk:1.25) in medieval village, Cyberpunk style, vibrant colors, octane render, ray traced"
a demon in mars base,"(demon:1.25) in mars base, Photoreal style, vibrant colors, sharp focus, intricate textures, dramatic shadows, hyper detailed"
a wizard in underwater city,"(wizard:1.25) in underwater city, Renaissance style, octane render, unreal engine 5, intricate textures, sharp focus"
a cat in mars base,"(cat:1.25) in mars base, Photoreal style, octane render, sharp focus, muted tones, intricate textures, masterpiece quality"
a goddess in desert oasis,"(goddess:1.25) in desert oasis, Vaporwave style, volumetric lighting, ethereal atmosphere, vibrant colors, ray traced, intricate textures"
a astronaut in mountain temple,"(astronaut:1.25) in mountain temple, Anime style, muted tones, unreal engine 5, vibrant colors, sharp focus"
a scientist in medieval village,"(scientist:1.25) in medieval village, Cyberpunk style, ray traced, intricate textures, ethereal atmosphere, octane render, dramatic shadows"
a scientist in medieval village,"(scientist:1.25) in medieval village, Cinematic style, intricate textures, vibrant colors, majestic scale, ray traced"
a forest spirit in space station,"(forest spirit:1.25) in space station, Renaissance style, vibrant colors, 8k resolution, sharp focus, dramatic shadows, soft bokeh"
a queen in deep forest,"(queen:1.25) in deep forest, Cyberpunk style, masterpiece quality, intricate textures, muted tones"
a scientist in mars base,"(scientist:1.25) in mars base, Cyberpunk style, masterpiece quality, unreal engine 5, dramatic shadows"
a mechanic in neon city,"(mechanic:1.25) in neon city, Renaissance style, hyper detailed, masterpiece quality, 8k resolution"
a nomad in ancient ruins,"(nomad:1.25) in ancient ruins, Dark Fantasy style, muted tones, 8k resolution, volumetric lighting, vibrant colors"
a cyberpunk girl in space station,"(cyberpunk girl:1.25) in space station, Steampunk style, octane render, ray traced, muted tones"
a nomad in desert oasis,"(nomad:1.25) in desert oasis, Vaporwave style, masterpiece quality, intricate textures, majestic scale"
a goddess in ancient ruins,"(goddess:1.25) in ancient ruins, Dark Fantasy style, vibrant colors, octane render, majestic scale, muted tones"
a robot in volcano,"(robot:1.25) in volcano, Cinematic style, 8k resolution, vibrant colors, ethereal atmosphere"
a angel in neon city,"(angel:1.25) in neon city, Anime style, ray traced, volumetric lighting, 8k resolution, hyper detailed, ethereal atmosphere"
a cyberpunk girl in deep forest,"(cyberpunk girl:1.25) in deep forest, Vaporwave style, soft bokeh, ray traced, muted tones, majestic scale"
a warrior in volcano,"(warrior:1.25) in volcano, Minimalist style, soft bokeh, octane render, masterpiece quality, dramatic shadows, intricate textures"
a robot in dreamscape,"(robot:1.25) in dreamscape, Vaporwave style, muted tones, sharp focus, 8k resolution, unreal engine 5, ethereal atmosphere"
a cyberpunk girl in space station,"(cyberpunk girl:1.25) in space station, Cyberpunk style, hyper detailed, octane render, soft bokeh, intricate textures, ethereal atmosphere"
a goddess in space station,"(goddess:1.25) in space station, Anime style, majestic scale, octane render, dramatic shadows, 8k resolution"
a warrior in deep forest,"(warrior:1.25) in deep forest, Steampunk style, hyper detailed, octane render, ray traced, masterpiece quality"
a queen in medieval village,"(queen:1.25) in medieval village, Renaissance style, muted tones, sharp focus, volumetric lighting, ray traced"
a explorer in volcano,"(explorer:1.25) in volcano, Minimalist style, muted tones, sharp focus, octane render, 8k resolution"
a explorer in floating island,"(explorer:1.25) in floating island, Renaissance style, 8k resolution, vibrant colors, octane render"
a dragon in medieval village,"(dragon:1.25) in medieval village, Renaissance style, dramatic shadows, unreal engine 5, intricate textures, 8k resolution, ethereal atmosphere"
a nomad in stellar nebula,"(nomad:1.25) in stellar nebula, Impressionist style, volumetric lighting, muted tones, dramatic shadows, soft bokeh, vibrant colors"
a old man in frozen tundra,"(old man:1.25) in frozen tundra, Cyberpunk style, majestic scale, unreal engine 5, volumetric lighting, vibrant colors, dramatic shadows"
a old man in mars base,"(old man:1.25) in mars base, Cyberpunk style, volumetric lighting, masterpiece quality, soft bokeh"
a cyberpunk girl in frozen tundra,"(cyberpunk girl:1.25) in frozen tundra, Renaissance style, intricate textures, hyper detailed, soft bokeh, volumetric lighting"
a wizard in desert oasis,"(wizard:1.25) in desert oasis, Steampunk style, dramatic shadows, 8k resolution, unreal engine 5, ray traced, soft bokeh"
a cat in mars base,"(cat:1.25) in mars base, Impressionist style, octane render, 8k resolution, vibrant colors"
a nomad in frozen tundra,"(nomad:1.25) in frozen tundra, Impressionist style, dramatic shadows, majestic scale, sharp focus, masterpiece quality"
a explorer in dreamscape,"(explorer:1.25) in dreamscape, Impressionist style, hyper detailed, muted tones, soft bokeh"
a scientist in frozen tundra,"(scientist:1.25) in frozen tundra, Vaporwave style, majestic scale, dramatic shadows, muted tones, octane render"
a knight in space station,"(knight:1.25) in space station, Impressionist style, hyper detailed, soft bokeh, sharp focus, volumetric lighting"
a monk in cybernetic lab,"(monk:1.25) in cybernetic lab, Dark Fantasy style, majestic scale, vibrant colors, muted tones, soft bokeh"
a explorer in volcano,"(explorer:1.25) in volcano, Cinematic style, vibrant colors, masterpiece quality, hyper detailed"
a scientist in dreamscape,"(scientist:1.25) in dreamscape, Renaissance style, 8k resolution, majestic scale, muted tones, masterpiece quality"
a dragon in ancient ruins,"(dragon:1.25) in ancient ruins, Renaissance style, intricate textures, volumetric lighting, ethereal atmosphere"
a old man in ancient ruins,"(old man:1.25) in ancient ruins, Photoreal style, muted tones, sharp focus, masterpiece quality, soft bokeh, majestic scale"
a knight in ancient ruins,"(knight:1.25) in ancient ruins, Steampunk style, sharp focus, volumetric lighting, masterpiece quality, ray traced, majestic scale"
a monk in desert oasis,"(monk:1.25) in desert oasis, Vaporwave style, vibrant colors, unreal engine 5, majestic scale, ray traced"
a cyberpunk girl in stellar nebula,"(cyberpunk girl:1.25) in stellar nebula, Renaissance style, unreal engine 5, vibrant colors, majestic scale, octane render"
a explorer in mars base,"(explorer:1.25) in mars base, Steampunk style, vibrant colors, intricate textures, volumetric lighting, masterpiece quality, 8k resolution"
a explorer in deep forest,"(explorer:1.25) in deep forest, Anime style, dramatic shadows, ethereal atmosphere, sharp focus, volumetric lighting"
a queen in medieval village,"(queen:1.25) in medieval village, Steampunk style, majestic scale, unreal engine 5, masterpiece quality, volumetric lighting, soft bokeh"
a explorer in space station,"(explorer:1.25) in space station, Impressionist style, volumetric lighting, dramatic shadows, vibrant colors"
a monk in ancient ruins,"(monk:1.25) in ancient ruins, Renaissance style, sharp focus, volumetric lighting, majestic scale, ethereal atmosphere"
a explorer in ancient ruins,"(explorer:1.25) in ancient ruins, Photoreal style, soft bokeh, 8k resolution, muted tones, volumetric lighting, majestic scale"
a monk in deep forest,"(monk:1.25) in deep forest, Steampunk style, masterpiece quality, ray traced, vibrant colors, majestic scale, dramatic shadows"
